occupation,hierarchy_level,mechanism_of_death,deaths,population
Media and communication equipment workers,1,Fall,0,368
Media and communication equipment workers,1,Poisoning,0,368
Media and communication equipment workers,1,Struck by or against,0,368
Broadcast and sound engineering technicians and radio operators,2,Total,4,145
Broadcast and sound engineering technicians and radio operators,2,Cut/Pierce,1,145
Broadcast and sound engineering technicians and radio operators,2,Motor Vehicle Traffic,1,145
Broadcast and sound engineering technicians and radio operators,2,Fire/Flame,0,145
Broadcast and sound engineering technicians and radio operators,2,Fall,0,145
Broadcast and sound engineering technicians and radio operators,2,Poisoning,0,145
Broadcast and sound engineering technicians and radio operators,2,Struck by or against,0,145
Audio and video equipment technicians,3,Total,0,93
Audio and video equipment technicians,3,Cut/Pierce,0,93
Audio and video equipment technicians,3,Motor Vehicle Traffic,1,93
Audio and video equipment technicians,3,Fire/Flame,0,93
Audio and video equipment technicians,3,Fall,0,93
Audio and video equipment technicians,3,Poisoning,0,93
Audio and video equipment technicians,3,Struck by or against,0,93
Broadcast technicians,3,Total,1,35
Broadcast technicians,3,Cut/Pierce,1,35
Broadcast technicians,3,Motor Vehicle Traffic,0,35
Broadcast technicians,3,Fire/Flame,0,35
Broadcast technicians,3,Fall,0,35
Broadcast technicians,3,Poisoning,0,35
Broadcast technicians,3,Struck by or against,0,35
Sound engineering technicians,3,Total,1,16
Sound engineering technicians,3,Cut/Pierce,0,16
Sound engineering technicians,3,Motor Vehicle Traffic,0,16
Sound engineering technicians,3,Fire/Flame,0,16
Sound engineering technicians,3,Fall,1,16
Sound engineering technicians,3,Poisoning,0,16
Sound engineering technicians,3,Struck by or against,0,16
Photographers,2,Total,8,132
Photographers,3,Total,8,132
Photographers,2,Cut/Pierce,3,132
Photographers,3,Cut/Pierce,3,132
Photographers,2,Motor Vehicle Traffic,5,132
Photographers,3,Motor Vehicle Traffic,5,132
Photographers,2,Fire/Flame,0,132
Photographers,3,Fire/Flame,0,132
Photographers,2,Fall,0,132
Photographers,3,Fall,0,132
Photographers,2,Poisoning,0,132
Photographers,3,Poisoning,0,132
Photographers,2,Struck by or against,0,132
Photographers,3,Struck by or against,0,132
Healthcare practitioners and technical occupations,0,Total,65,"9,108"
Healthcare practitioners and technical occupations,0,Cut/Pierce,17,"9,108"
Healthcare practitioners and technical occupations,0,Motor Vehicle Traffic,29,"9,108"
Healthcare practitioners and technical occupations,0,Fire/Flame,0,"9,108"
Healthcare practitioners and technical occupations,0,Fall,3,"9,108"
Healthcare practitioners and technical occupations,0,Poisoning,11,"9,108"
Healthcare practitioners and technical occupations,0,Struck by or against,1,"9,108"
Health diagnosing and treating practitioners,1,Total,35,"5,725"
Health diagnosing and treating practitioners,1,Cut/Pierce,10,"5,725"
Health diagnosing and treating practitioners,1,Motor Vehicle Traffic,14,"5,725"
Health diagnosing and treating practitioners,1,Fire/Flame,0,"5,725"
Health diagnosing and treating practitioners,1,Fall,0,"5,725"
Health diagnosing and treating practitioners,1,Poisoning,6,"5,725"
Health diagnosing and treating practitioners,1,Struck by or against,1,"5,725"
Chiropractors,2,Total,1,50
Chiropractors,3,Total,1,50
Chiropractors,2,Cut/Pierce,0,50
Chiropractors,3,Cut/Pierce,0,50
Chiropractors,2,Motor Vehicle Traffic,0,50
Chiropractors,3,Motor Vehicle Traffic,0,50
Chiropractors,2,Fire/Flame,0,50
Chiropractors,3,Fire/Flame,0,50
Chiropractors,2,Fall,0,50
Chiropractors,3,Fall,0,50
Chiropractors,2,Poisoning,0,50
Chiropractors,3,Poisoning,0,50
Chiropractors,2,Struck by or against,0,50
Chiropractors,3,Struck by or against,0,50
Pharmacists,2,Total,2,314
Pharmacists,3,Total,2,314
Pharmacists,2,Cut/Pierce,2,314
Pharmacists,3,Cut/Pierce,2,314
Pharmacists,2,Motor Vehicle Traffic,0,314
Pharmacists,3,Motor Vehicle Traffic,0,314
Pharmacists,2,Fire/Flame,0,314
Pharmacists,3,Fire/Flame,0,314
Pharmacists,2,Fall,0,314
Pharmacists,3,Fall,0,314
Pharmacists,2,Poisoning,0,314
Pharmacists,3,Poisoning,0,314
Pharmacists,2,Struck by or against,0,314
Pharmacists,3,Struck by or against,0,314
Physicians and surgeons,2,Total,6,757
Physicians and surgeons,2,Cut/Pierce,3,757
Physicians and surgeons,2,Motor Vehicle Traffic,0,757
Physicians and surgeons,2,Fire/Flame,0,757
Physicians and surgeons,2,Fall,0,757
Physicians and surgeons,2,Poisoning,0,757
Physicians and surgeons,2,Struck by or against,0,757
Therapists,2,Total,5,751
Therapists,2,Cut/Pierce,0,751
Therapists,2,Motor Vehicle Traffic,5,751
Therapists,2,Fire/Flame,0,751
Therapists,2,Fall,0,751
Therapists,2,Poisoning,0,751
Therapists,2,Struck by or against,0,751
Occupational therapists,3,Total,1,133
Occupational therapists,3,Cut/Pierce,0,133
Occupational therapists,3,Motor Vehicle Traffic,1,133
Occupational therapists,3,Fire/Flame,0,133
Occupational therapists,3,Fall,0,133
Occupational therapists,3,Poisoning,0,133
Occupational therapists,3,Struck by or against,0,133
Veterinarians,2,Total,4,85
Veterinarians,3,Total,4,85
Veterinarians,2,Cut/Pierce,1,85
Veterinarians,3,Cut/Pierce,1,85
Veterinarians,2,Motor Vehicle Traffic,1,85
Veterinarians,3,Motor Vehicle Traffic,1,85
Veterinarians,2,Fire/Flame,0,85
Veterinarians,3,Fire/Flame,0,85
Veterinarians,2,Fall,0,85
Veterinarians,3,Fall,0,85
Veterinarians,2,Poisoning,0,85
Veterinarians,3,Poisoning,0,85
Veterinarians,2,Struck by or against,1,85
Veterinarians,3,Struck by or against,1,85
Registered nurses,2,Total,13,"3,060"
Registered nurses,3,Total,13,"3,060"
Registered nurses,2,Cut/Pierce,0,"3,060"
Registered nurses,3,Cut/Pierce,0,"3,060"
Registered nurses,2,Motor Vehicle Traffic,7,"3,060"
Registered nurses,3,Motor Vehicle Traffic,7,"3,060"
Registered nurses,2,Fire/Flame,0,"3,060"
Registered nurses,3,Fire/Flame,0,"3,060"
Registered nurses,2,Fall,0,"3,060"
Registered nurses,3,Fall,0,"3,060"
Registered nurses,2,Poisoning,4,"3,060"
Registered nurses,3,Poisoning,4,"3,060"
Registered nurses,2,Struck by or against,0,"3,060"
Registered nurses,3,Struck by or against,0,"3,060"
Health technologists and technicians,1,Total,29,"3,195"
Health technologists and technicians,1,Cut/Pierce,7,"3,195"
Health technologists and technicians,1,Motor Vehicle Traffic,14,"3,195"
Health technologists and technicians,1,Fire/Flame,0,"3,195"
Health technologists and technicians,1,Fall,0,"3,195"
Health technologists and technicians,1,Poisoning,5,"3,195"
Health technologists and technicians,1,Struck by or against,0,"3,195"
Emergency medical technicians and paramedics,2,Total,16,262
Emergency medical technicians and paramedics,3,Total,16,262
Emergency medical technicians and paramedics,2,Cut/Pierce,0,262
Emergency medical technicians and paramedics,3,Cut/Pierce,0,262
Emergency medical technicians and paramedics,2,Motor Vehicle Traffic,11,262
Emergency medical technicians and paramedics,3,Motor Vehicle Traffic,11,262
Emergency medical technicians and paramedics,2,Fire/Flame,0,262
Emergency medical technicians and paramedics,3,Fire/Flame,0,262
Emergency medical technicians and paramedics,2,Fall,0,262
Emergency medical technicians and paramedics,3,Fall,0,262
Emergency medical technicians and paramedics,2,Poisoning,0,262
Emergency medical technicians and paramedics,3,Poisoning,0,262
Emergency medical technicians and paramedics,2,Struck by or against,0,262
Emergency medical technicians and paramedics,3,Struck by or against,0,262
Health practitioner support technologists and technicians,2,Total,6,816
Health practitioner support technologists and technicians,2,Cut/Pierce,4,816
Health practitioner support technologists and technicians,2,Motor Vehicle Traffic,0,816
Health practitioner support technologists and technicians,2,Fire/Flame,0,816
Health practitioner support technologists and technicians,2,Fall,0,816
Health practitioner support technologists and technicians,2,Poisoning,0,816
Health practitioner support technologists and technicians,2,Struck by or against,0,816
Pharmacy technicians,3,Total,1,420
Pharmacy technicians,3,Cut/Pierce,1,420
Pharmacy technicians,3,Motor Vehicle Traffic,0,420
Pharmacy technicians,3,Fire/Flame,0,420
Pharmacy technicians,3,Fall,0,420
Pharmacy technicians,3,Poisoning,0,420
Pharmacy technicians,3,Struck by or against,0,420
Ophthalmic medical technicians,3,Total,1,54
Ophthalmic medical technicians,3,Cut/Pierce,1,54
Ophthalmic medical technicians,3,Motor Vehicle Traffic,0,54
Ophthalmic medical technicians,3,Fire/Flame,0,54
Ophthalmic medical technicians,3,Fall,0,54
Ophthalmic medical technicians,3,Poisoning,0,54
Ophthalmic medical technicians,3,Struck by or against,0,54
Licensed practical and licensed vocational nurses,2,Total,4,729
Licensed practical and licensed vocational nurses,3,Total,4,729
Licensed practical and licensed vocational nurses,2,Cut/Pierce,1,729
Licensed practical and licensed vocational nurses,3,Cut/Pierce,1,729
Licensed practical and licensed vocational nurses,2,Motor Vehicle Traffic,0,729
Licensed practical and licensed vocational nurses,3,Motor Vehicle Traffic,0,729
Licensed practical and licensed vocational nurses,2,Fire/Flame,0,729
Licensed practical and licensed vocational nurses,3,Fire/Flame,0,729
Licensed practical and licensed vocational nurses,2,Fall,0,729
Licensed practical and licensed vocational nurses,3,Fall,0,729
Licensed practical and licensed vocational nurses,2,Poisoning,0,729
Licensed practical and licensed vocational nurses,3,Poisoning,0,729
Licensed practical and licensed vocational nurses,2,Struck by or against,0,729
Licensed practical and licensed vocational nurses,3,Struck by or against,0,729
Healthcare support occupations,0,Total,32,"4,316"
Healthcare support occupations,0,Cut/Pierce,5,"4,316"
Healthcare support occupations,0,Motor Vehicle Traffic,5,"4,316"
Healthcare support occupations,0,Fire/Flame,2,"4,316"
Healthcare support occupations,0,Fall,8,"4,316"
Healthcare support occupations,0,Poisoning,11,"4,316"
Healthcare support occupations,0,Struck by or against,0,"4,316"
"Nursing, psychiatric, and home health aides",1,Total,24,"2,458"
"Nursing, psychiatric, and home health aides",2,Total,24,"2,458"
"Nursing, psychiatric, and home health aides",1,Cut/Pierce,4,"2,458"
"Nursing, psychiatric, and home health aides",2,Cut/Pierce,4,"2,458"
"Nursing, psychiatric, and home health aides",1,Motor Vehicle Traffic,0,"2,458"
"Nursing, psychiatric, and home health aides",2,Motor Vehicle Traffic,0,"2,458"
"Nursing, psychiatric, and home health aides",1,Fire/Flame,2,"2,458"
"Nursing, psychiatric, and home health aides",2,Fire/Flame,2,"2,458"
"Nursing, psychiatric, and home health aides",1,Fall,7,"2,458"
"Nursing, psychiatric, and home health aides",2,Fall,7,"2,458"
"Nursing, psychiatric, and home health aides",1,Poisoning,8,"2,458"
"Nursing, psychiatric, and home health aides",2,Poisoning,8,"2,458"
"Nursing, psychiatric, and home health aides",1,Struck by or against,0,"2,458"
"Nursing, psychiatric, and home health aides",2,Struck by or against,0,"2,458"
Home health aides,3,Total,12,832
Home health aides,3,Cut/Pierce,4,832
Home health aides,3,Motor Vehicle Traffic,0,832
Home health aides,3,Fire/Flame,0,832
Home health aides,3,Fall,3,832
Home health aides,3,Poisoning,4,832
Home health aides,3,Struck by or against,0,832
Nursing assistants,3,Total,12,"1,513"
Nursing assistants,3,Cut/Pierce,0,"1,513"
Nursing assistants,3,Motor Vehicle Traffic,0,"1,513"
Nursing assistants,3,Fire/Flame,2,"1,513"
Nursing assistants,3,Fall,4,"1,513"
Nursing assistants,3,Poisoning,4,"1,513"
Nursing assistants,3,Struck by or against,0,"1,513"
Occupational therapy and physical therapist assistants and aides,1,Total,1,200
Occupational therapy and physical therapist assistants and aides,1,Cut/Pierce,0,200
Occupational therapy and physical therapist assistants and aides,1,Motor Vehicle Traffic,1,200
Occupational therapy and physical therapist assistants and aides,1,Fire/Flame,0,200
Occupational therapy and physical therapist assistants and aides,1,Fall,0,200
Occupational therapy and physical therapist assistants and aides,1,Poisoning,0,200
Occupational therapy and physical therapist assistants and aides,1,Struck by or against,0,200
Occupational therapy assistants,3,Total,1,44
Occupational therapy assistants,3,Cut/Pierce,0,44
Occupational therapy assistants,3,Motor Vehicle Traffic,1,44
Occupational therapy assistants,3,Fire/Flame,0,44
Occupational therapy assistants,3,Fall,0,44
Occupational therapy assistants,3,Poisoning,0,44
Occupational therapy assistants,3,Struck by or against,0,44
Other healthcare support occupations,1,Total,7,"1,658"
Other healthcare support occupations,1,Cut/Pierce,1,"1,658"
Other healthcare support occupations,1,Motor Vehicle Traffic,0,"1,658"
Other healthcare support occupations,1,Fire/Flame,0,"1,658"
Other healthcare support occupations,1,Fall,0,"1,658"
Other healthcare support occupations,1,Poisoning,3,"1,658"
Other healthcare support occupations,1,Struck by or against,0,"1,658"
Massage therapists,2,Total,1,160
Massage therapists,3,Total,1,160
Massage therapists,2,Cut/Pierce,1,160
Massage therapists,3,Cut/Pierce,1,160
Massage therapists,2,Motor Vehicle Traffic,0,160
Massage therapists,3,Motor Vehicle Traffic,0,160
Massage therapists,2,Fire/Flame,0,160
Massage therapists,3,Fire/Flame,0,160
Massage therapists,2,Fall,0,160
Massage therapists,3,Fall,0,160
Massage therapists,2,Poisoning,0,160
Massage therapists,3,Poisoning,0,160
Massage therapists,2,Struck by or against,0,160
Massage therapists,3,Struck by or against,0,160
Miscellaneous healthcare support occupations,2,Total,6,"1,498"
Miscellaneous healthcare support occupations,2,Cut/Pierce,0,"1,498"
Miscellaneous healthcare support occupations,2,Motor Vehicle Traffic,0,"1,498"
Miscellaneous healthcare support occupations,2,Fire/Flame,0,"1,498"
Miscellaneous healthcare support occupations,2,Fall,0,"1,498"
Miscellaneous healthcare support occupations,2,Poisoning,3,"1,498"
Miscellaneous healthcare support occupations,2,Struck by or against,0,"1,498"
Phlebotomists,3,Total,3,128
Phlebotomists,3,Cut/Pierce,0,128
Phlebotomists,3,Motor Vehicle Traffic,0,128
Phlebotomists,3,Fire/Flame,0,128
Phlebotomists,3,Fall,0,128
Phlebotomists,3,Poisoning,0,128
Phlebotomists,3,Struck by or against,0,128
Protective service occupations,0,Total,270,"3,561"
Protective service occupations,0,Cut/Pierce,117,"3,561"
Protective service occupations,0,Motor Vehicle Traffic,98,"3,561"
Protective service occupations,0,Fire/Flame,12,"3,561"
Protective service occupations,0,Fall,17,"3,561"
Protective service occupations,0,Poisoning,17,"3,561"
Protective service occupations,0,Struck by or against,5,"3,561"
Supervisors of protective service workers,1,Total,29,319
Supervisors of protective service workers,1,Cut/Pierce,10,319
Supervisors of protective service workers,1,Motor Vehicle Traffic,10,319
Supervisors of protective service workers,1,Fire/Flame,4,319
Supervisors of protective service workers,1,Fall,0,319
Supervisors of protective service workers,1,Poisoning,2,319
Supervisors of protective service workers,1,Struck by or against,0,319
First-line supervisors of law enforcement workers,2,Total,11,168
First-line supervisors of law enforcement workers,2,Cut/Pierce,7,168
First-line supervisors of law enforcement workers,2,Motor Vehicle Traffic,3,168
First-line supervisors of law enforcement workers,2,Fire/Flame,0,168
First-line supervisors of law enforcement workers,2,Fall,0,168
First-line supervisors of law enforcement workers,2,Poisoning,0,168
First-line supervisors of law enforcement workers,2,Struck by or against,0,168
First-line supervisors of police and detectives,3,Total,11,122
First-line supervisors of police and detectives,3,Cut/Pierce,7,122
First-line supervisors of police and detectives,3,Motor Vehicle Traffic,3,122
First-line supervisors of police and detectives,3,Fire/Flame,0,122
First-line supervisors of police and detectives,3,Fall,0,122
First-line supervisors of police and detectives,3,Poisoning,0,122
First-line supervisors of police and detectives,3,Struck by or against,0,122
First-line supervisors of fire fighting and prevention workers,2,Total,14,68
First-line supervisors of fire fighting and prevention workers,3,Total,14,68
First-line supervisors of fire fighting and prevention workers,2,Cut/Pierce,0,68
First-line supervisors of fire fighting and prevention workers,3,Cut/Pierce,0,68
First-line supervisors of fire fighting and prevention workers,2,Motor Vehicle Traffic,6,68
First-line supervisors of fire fighting and prevention workers,3,Motor Vehicle Traffic,6,68
First-line supervisors of fire fighting and prevention workers,2,Fire/Flame,4,68
First-line supervisors of fire fighting and prevention workers,3,Fire/Flame,4,68
First-line supervisors of fire fighting and prevention workers,2,Fall,0,68
First-line supervisors of fire fighting and prevention workers,3,Fall,0,68
First-line supervisors of fire fighting and prevention workers,2,Poisoning,1,68
First-line supervisors of fire fighting and prevention workers,3,Poisoning,1,68
First-line supervisors of fire fighting and prevention workers,2,Struck by or against,0,68
First-line supervisors of fire fighting and prevention workers,3,Struck by or against,0,68
Fire fighting and prevention workers,1,Total,33,348
Fire fighting and prevention workers,1,Cut/Pierce,0,348
Fire fighting and prevention workers,1,Motor Vehicle Traffic,13,348
Fire fighting and prevention workers,1,Fire/Flame,7,348
Fire fighting and prevention workers,1,Fall,1,348
Fire fighting and prevention workers,1,Poisoning,6,348
Fire fighting and prevention workers,1,Struck by or against,0,348
Firefighters,2,Total,32,332
Firefighters,3,Total,32,332
Firefighters,2,Cut/Pierce,0,332
Firefighters,3,Cut/Pierce,0,332
Firefighters,2,Motor Vehicle Traffic,12,332
Firefighters,3,Motor Vehicle Traffic,12,332
Firefighters,2,Fire/Flame,7,332
Firefighters,3,Fire/Flame,7,332
Firefighters,2,Fall,1,332
Firefighters,3,Fall,1,332
Firefighters,2,Poisoning,6,332
Firefighters,3,Poisoning,6,332
Firefighters,2,Struck by or against,0,332
Firefighters,3,Struck by or against,0,332
Law enforcement workers,1,Total,127,"1,271"
Law enforcement workers,1,Cut/Pierce,68,"1,271"
Law enforcement workers,1,Motor Vehicle Traffic,49,"1,271"
Law enforcement workers,1,Fire/Flame,0,"1,271"
Law enforcement workers,1,Fall,3,"1,271"
Law enforcement workers,1,Poisoning,4,"1,271"
Law enforcement workers,1,Struck by or against,1,"1,271"
"Bailiffs, correctional officers, and jailers",2,Total,11,454
"Bailiffs, correctional officers, and jailers",2,Cut/Pierce,6,454
"Bailiffs, correctional officers, and jailers",2,Motor Vehicle Traffic,0,454
"Bailiffs, correctional officers, and jailers",2,Fire/Flame,0,454
"Bailiffs, correctional officers, and jailers",2,Fall,0,454
"Bailiffs, correctional officers, and jailers",2,Poisoning,0,454
"Bailiffs, correctional officers, and jailers",2,Struck by or against,0,454
Correctional officers and jailers,3,Total,11,434
Correctional officers and jailers,3,Cut/Pierce,6,434
Correctional officers and jailers,3,Motor Vehicle Traffic,0,434
Correctional officers and jailers,3,Fire/Flame,0,434
Correctional officers and jailers,3,Fall,0,434
Correctional officers and jailers,3,Poisoning,0,434
Correctional officers and jailers,3,Struck by or against,0,434
Detectives and criminal investigators,2,Total,6,111
Detectives and criminal investigators,3,Total,6,111
Detectives and criminal investigators,2,Cut/Pierce,5,111
Detectives and criminal investigators,3,Cut/Pierce,5,111
Detectives and criminal investigators,2,Motor Vehicle Traffic,0,111
Detectives and criminal investigators,3,Motor Vehicle Traffic,0,111
Detectives and criminal investigators,2,Fire/Flame,0,111
Detectives and criminal investigators,3,Fire/Flame,0,111
Detectives and criminal investigators,2,Fall,0,111
Detectives and criminal investigators,3,Fall,0,111
Detectives and criminal investigators,2,Poisoning,0,111
Detectives and criminal investigators,3,Poisoning,0,111
Detectives and criminal investigators,2,Struck by or against,0,111
Detectives and criminal investigators,3,Struck by or against,0,111
Police officers,2,Total,108,692
Police officers,2,Cut/Pierce,56,692
Police officers,2,Motor Vehicle Traffic,45,692
Police officers,2,Fire/Flame,0,692
Police officers,2,Fall,0,692
Police officers,2,Poisoning,0,692
Police officers,2,Struck by or against,1,692
Police and sheriff's patrol officers,3,Total,108,687
Police and sheriff's patrol officers,3,Cut/Pierce,56,687
Police and sheriff's patrol officers,3,Motor Vehicle Traffic,45,687
Police and sheriff's patrol officers,3,Fire/Flame,0,687
Police and sheriff's patrol officers,3,Fall,0,687
Police and sheriff's patrol officers,3,Poisoning,0,687
Police and sheriff's patrol officers,3,Struck by or against,1,687
Other protective service workers,1,Total,81,"1,623"
Other protective service workers,1,Cut/Pierce,37,"1,623"
Other protective service workers,1,Motor Vehicle Traffic,26,"1,623"
Other protective service workers,1,Fire/Flame,0,"1,623"
Other protective service workers,1,Fall,11,"1,623"
Other protective service workers,1,Poisoning,5,"1,623"
Other protective service workers,1,Struck by or against,0,"1,623"
Private detectives and investigators,2,Total,1,33
Private detectives and investigators,3,Total,1,33
Private detectives and investigators,2,Cut/Pierce,0,33
Private detectives and investigators,3,Cut/Pierce,0,33
Private detectives and investigators,2,Motor Vehicle Traffic,0,33
Private detectives and investigators,3,Motor Vehicle Traffic,0,33
Private detectives and investigators,2,Fire/Flame,0,33
Private detectives and investigators,3,Fire/Flame,0,33
Private detectives and investigators,2,Fall,0,33
Private detectives and investigators,3,Fall,0,33
Private detectives and investigators,2,Poisoning,0,33
Private detectives and investigators,3,Poisoning,0,33
Private detectives and investigators,2,Struck by or against,0,33
Private detectives and investigators,3,Struck by or against,0,33
Security guards and gaming surveillance officers,2,Total,58,"1,154"
Security guards and gaming surveillance officers,2,Cut/Pierce,37,"1,154"
Security guards and gaming surveillance officers,2,Motor Vehicle Traffic,11,"1,154"
Security guards and gaming surveillance officers,2,Fire/Flame,0,"1,154"
Security guards and gaming surveillance officers,2,Fall,5,"1,154"
Security guards and gaming surveillance officers,2,Poisoning,3,"1,154"
Security guards and gaming surveillance officers,2,Struck by or against,0,"1,154"
Security guards,3,Total,58,"1,144"
Security guards,3,Cut/Pierce,37,"1,144"
Security guards,3,Motor Vehicle Traffic,11,"1,144"
Security guards,3,Fire/Flame,0,"1,144"
Security guards,3,Fall,5,"1,144"
Security guards,3,Poisoning,3,"1,144"
Security guards,3,Struck by or against,0,"1,144"
Miscellaneous protective service workers,2,Total,21,424
Miscellaneous protective service workers,2,Cut/Pierce,0,424
Miscellaneous protective service workers,2,Motor Vehicle Traffic,15,424
Miscellaneous protective service workers,2,Fire/Flame,0,424
Miscellaneous protective service workers,2,Fall,6,424
Miscellaneous protective service workers,2,Poisoning,0,424
Miscellaneous protective service workers,2,Struck by or against,0,424
Crossing guards,3,Total,14,82
Crossing guards,3,Cut/Pierce,0,82
Crossing guards,3,Motor Vehicle Traffic,12,82
Crossing guards,3,Fire/Flame,0,82
Crossing guards,3,Fall,0,82
Crossing guards,3,Poisoning,0,82
Crossing guards,3,Struck by or against,0,82
Food preparation and serving related occupations,0,Total,100,"13,664"
Food preparation and serving related occupations,0,Cut/Pierce,47,"13,664"
Food preparation and serving related occupations,0,Motor Vehicle Traffic,4,"13,664"
Food preparation and serving related occupations,0,Fire/Flame,0,"13,664"
Food preparation and serving related occupations,0,Fall,14,"13,664"
Food preparation and serving related occupations,0,Poisoning,32,"13,664"
Food preparation and serving related occupations,0,Struck by or against,0,"13,664"
Supervisors of food preparation and serving workers,1,Total,22,"1,128"
Supervisors of food preparation and serving workers,1,Cut/Pierce,12,"1,128"
Supervisors of food preparation and serving workers,1,Motor Vehicle Traffic,0,"1,128"
Supervisors of food preparation and serving workers,1,Fire/Flame,0,"1,128"
Supervisors of food preparation and serving workers,1,Fall,3,"1,128"
Supervisors of food preparation and serving workers,1,Poisoning,5,"1,128"
Supervisors of food preparation and serving workers,1,Struck by or against,0,"1,128"
First-line supervisors of food preparation and serving workers,2,Total,22,989
First-line supervisors of food preparation and serving workers,3,Total,15,989
First-line supervisors of food preparation and serving workers,2,Cut/Pierce,12,989
First-line supervisors of food preparation and serving workers,3,Cut/Pierce,12,989
First-line supervisors of food preparation and serving workers,2,Motor Vehicle Traffic,0,989
First-line supervisors of food preparation and serving workers,3,Motor Vehicle Traffic,0,989
First-line supervisors of food preparation and serving workers,2,Fire/Flame,0,989
First-line supervisors of food preparation and serving workers,3,Fire/Flame,0,989
First-line supervisors of food preparation and serving workers,2,Fall,3,989
First-line supervisors of food preparation and serving workers,3,Fall,0,989
First-line supervisors of food preparation and serving workers,2,Poisoning,5,989
First-line supervisors of food preparation and serving workers,3,Poisoning,0,989
First-line supervisors of food preparation and serving workers,2,Struck by or against,0,989
First-line supervisors of food preparation and serving workers,3,Struck by or against,0,989
Chefs and head cooks,3,Total,7,139
Chefs and head cooks,3,Cut/Pierce,0,139
Chefs and head cooks,3,Motor Vehicle Traffic,0,139
Chefs and head cooks,3,Fire/Flame,0,139
Chefs and head cooks,3,Fall,0,139
Chefs and head cooks,3,Poisoning,4,139
Chefs and head cooks,3,Struck by or against,0,139
Cooks and food preparation workers,1,Total,41,"3,334"
Cooks and food preparation workers,1,Cut/Pierce,15,"3,334"
Cooks and food preparation workers,1,Motor Vehicle Traffic,1,"3,334"
Cooks and food preparation workers,1,Fire/Flame,0,"3,334"
Cooks and food preparation workers,1,Fall,6,"3,334"
Cooks and food preparation workers,1,Poisoning,16,"3,334"
Cooks and food preparation workers,1,Struck by or against,0,"3,334"
Cooks,2,Total,32,"2,492"
Cooks,2,Cut/Pierce,10,"2,492"
Cooks,2,Motor Vehicle Traffic,1,"2,492"
Cooks,2,Fire/Flame,0,"2,492"
Cooks,2,Fall,4,"2,492"
Cooks,2,Poisoning,15,"2,492"
Cooks,2,Struck by or against,0,"2,492"
"Cooks, fast food",3,Total,3,491
"Cooks, fast food",3,Cut/Pierce,0,491
"Cooks, fast food",3,Motor Vehicle Traffic,0,491
"Cooks, fast food",3,Fire/Flame,0,491
"Cooks, fast food",3,Fall,0,491
"Cooks, fast food",3,Poisoning,0,491
"Cooks, fast food",3,Struck by or against,0,491
"Cooks, institution and cafeteria",3,Total,9,419
"Cooks, institution and cafeteria",3,Cut/Pierce,1,419
"Cooks, institution and cafeteria",3,Motor Vehicle Traffic,1,419
"Cooks, institution and cafeteria",3,Fire/Flame,0,419
"Cooks, institution and cafeteria",3,Fall,3,419
"Cooks, institution and cafeteria",3,Poisoning,0,419
"Cooks, institution and cafeteria",3,Struck by or against,0,419
"Cooks, restaurant",3,Total,16,"1,362"
"Cooks, restaurant",3,Cut/Pierce,7,"1,362"
"Cooks, restaurant",3,Motor Vehicle Traffic,0,"1,362"
"Cooks, restaurant",3,Fire/Flame,0,"1,362"
"Cooks, restaurant",3,Fall,0,"1,362"
"Cooks, restaurant",3,Poisoning,9,"1,362"
"Cooks, restaurant",3,Struck by or against,0,"1,362"
Food preparation workers,2,Total,9,842
Food preparation workers,3,Total,9,842
Food preparation workers,2,Cut/Pierce,5,842
Food preparation workers,3,Cut/Pierce,5,842
Food preparation workers,2,Motor Vehicle Traffic,0,842
Food preparation workers,3,Motor Vehicle Traffic,0,842
Food preparation workers,2,Fire/Flame,0,842
Food preparation workers,3,Fire/Flame,0,842
Food preparation workers,2,Fall,0,842
Food preparation workers,3,Fall,0,842
Food preparation workers,2,Poisoning,0,842
Food preparation workers,3,Poisoning,0,842
Food preparation workers,2,Struck by or against,0,842
Food preparation workers,3,Struck by or against,0,842
Food and beverage serving workers,1,Total,30,"7,737"
Food and beverage serving workers,1,Cut/Pierce,17,"7,737"
Food and beverage serving workers,1,Motor Vehicle Traffic,1,"7,737"
Food and beverage serving workers,1,Fire/Flame,0,"7,737"
Food and beverage serving workers,1,Fall,4,"7,737"
Food and beverage serving workers,1,Poisoning,8,"7,737"
Food and beverage serving workers,1,Struck by or against,0,"7,737"
Bartenders,2,Total,8,644
Bartenders,3,Total,8,644
Bartenders,2,Cut/Pierce,7,644
Bartenders,3,Cut/Pierce,7,644
Bartenders,2,Motor Vehicle Traffic,0,644
Bartenders,3,Motor Vehicle Traffic,0,644
Bartenders,2,Fire/Flame,0,644
Bartenders,3,Fire/Flame,0,644
Bartenders,2,Fall,0,644
Bartenders,3,Fall,0,644
Bartenders,2,Poisoning,0,644
Bartenders,3,Poisoning,0,644
Bartenders,2,Struck by or against,0,644
Bartenders,3,Struck by or against,0,644
Fast food and counter workers,2,Total,13,"4,184"
Fast food and counter workers,2,Cut/Pierce,7,"4,184"
Fast food and counter workers,2,Motor Vehicle Traffic,1,"4,184"
Fast food and counter workers,2,Fire/Flame,0,"4,184"
Fast food and counter workers,2,Fall,0,"4,184"
Fast food and counter workers,2,Poisoning,4,"4,184"
Fast food and counter workers,2,Struck by or against,0,"4,184"
