occupation,hierarchy_level,mechanism_of_death,deaths,population
Other management occupations,1,Poisoning,15,"4,764"
Other management occupations,1,Struck by or against,75,"4,764"
"Farmers, ranchers, and other agricultural managers",2,Total,257,975
"Farmers, ranchers, and other agricultural managers",3,Total,257,975
"Farmers, ranchers, and other agricultural managers",2,Cut/Pierce,26,975
"Farmers, ranchers, and other agricultural managers",3,Cut/Pierce,26,975
"Farmers, ranchers, and other agricultural managers",2,Motor Vehicle Traffic,127,975
"Farmers, ranchers, and other agricultural managers",3,Motor Vehicle Traffic,127,975
"Farmers, ranchers, and other agricultural managers",2,Fire/Flame,7,975
"Farmers, ranchers, and other agricultural managers",3,Fire/Flame,7,975
"Farmers, ranchers, and other agricultural managers",2,Fall,15,975
"Farmers, ranchers, and other agricultural managers",3,Fall,15,975
"Farmers, ranchers, and other agricultural managers",2,Poisoning,6,975
"Farmers, ranchers, and other agricultural managers",3,Poisoning,6,975
"Farmers, ranchers, and other agricultural managers",2,Struck by or against,75,975
"Farmers, ranchers, and other agricultural managers",3,Struck by or against,75,975
Construction managers,2,Total,8,472
Construction managers,3,Total,8,472
Construction managers,2,Cut/Pierce,0,472
Construction managers,3,Cut/Pierce,0,472
Construction managers,2,Motor Vehicle Traffic,0,472
Construction managers,3,Motor Vehicle Traffic,0,472
Construction managers,2,Fire/Flame,0,472
Construction managers,3,Fire/Flame,0,472
Construction managers,2,Fall,0,472
Construction managers,3,Fall,0,472
Construction managers,2,Poisoning,0,472
Construction managers,3,Poisoning,0,472
Construction managers,2,Struck by or against,0,472
Construction managers,3,Struck by or against,0,472
Education administrators,2,Total,4,582
Education administrators,2,Cut/Pierce,1,582
Education administrators,2,Motor Vehicle Traffic,0,582
Education administrators,2,Fire/Flame,0,582
Education administrators,2,Fall,1,582
Education administrators,2,Poisoning,0,582
Education administrators,2,Struck by or against,0,582
"Education administrators, elementary and secondary school",3,Total,0,275
"Education administrators, elementary and secondary school",3,Cut/Pierce,1,275
"Education administrators, elementary and secondary school",3,Motor Vehicle Traffic,0,275
"Education administrators, elementary and secondary school",3,Fire/Flame,0,275
"Education administrators, elementary and secondary school",3,Fall,0,275
"Education administrators, elementary and secondary school",3,Poisoning,0,275
"Education administrators, elementary and secondary school",3,Struck by or against,0,275
"Education administrators, postsecondary",3,Total,0,193
"Education administrators, postsecondary",3,Cut/Pierce,0,193
"Education administrators, postsecondary",3,Motor Vehicle Traffic,0,193
"Education administrators, postsecondary",3,Fire/Flame,0,193
"Education administrators, postsecondary",3,Fall,1,193
"Education administrators, postsecondary",3,Poisoning,0,193
"Education administrators, postsecondary",3,Struck by or against,0,193
Architectural and engineering managers,2,Total,2,193
Architectural and engineering managers,3,Total,2,193
Architectural and engineering managers,2,Cut/Pierce,0,193
Architectural and engineering managers,3,Cut/Pierce,0,193
Architectural and engineering managers,2,Motor Vehicle Traffic,1,193
Architectural and engineering managers,3,Motor Vehicle Traffic,1,193
Architectural and engineering managers,2,Fire/Flame,0,193
Architectural and engineering managers,3,Fire/Flame,0,193
Architectural and engineering managers,2,Fall,0,193
Architectural and engineering managers,3,Fall,0,193
Architectural and engineering managers,2,Poisoning,0,193
Architectural and engineering managers,3,Poisoning,0,193
Architectural and engineering managers,2,Struck by or against,0,193
Architectural and engineering managers,3,Struck by or against,0,193
Food service managers,2,Total,16,356
Food service managers,3,Total,16,356
Food service managers,2,Cut/Pierce,8,356
Food service managers,3,Cut/Pierce,8,356
Food service managers,2,Motor Vehicle Traffic,0,356
Food service managers,3,Motor Vehicle Traffic,0,356
Food service managers,2,Fire/Flame,3,356
Food service managers,3,Fire/Flame,3,356
Food service managers,2,Fall,0,356
Food service managers,3,Fall,0,356
Food service managers,2,Poisoning,0,356
Food service managers,3,Poisoning,0,356
Food service managers,2,Struck by or against,0,356
Food service managers,3,Struck by or against,0,356
Gaming managers,2,Total,1,6
Gaming managers,3,Total,1,6
Gaming managers,2,Cut/Pierce,0,6
Gaming managers,3,Cut/Pierce,0,6
Gaming managers,2,Motor Vehicle Traffic,0,6
Gaming managers,3,Motor Vehicle Traffic,0,6
Gaming managers,2,Fire/Flame,0,6
Gaming managers,3,Fire/Flame,0,6
Gaming managers,2,Fall,0,6
Gaming managers,3,Fall,0,6
Gaming managers,2,Poisoning,0,6
Gaming managers,3,Poisoning,0,6
Gaming managers,2,Struck by or against,0,6
Gaming managers,3,Struck by or against,0,6
Lodging managers,2,Total,11,53
Lodging managers,3,Total,11,53
Lodging managers,2,Cut/Pierce,6,53
Lodging managers,3,Cut/Pierce,6,53
Lodging managers,2,Motor Vehicle Traffic,2,53
Lodging managers,3,Motor Vehicle Traffic,2,53
Lodging managers,2,Fire/Flame,0,53
Lodging managers,3,Fire/Flame,0,53
Lodging managers,2,Fall,0,53
Lodging managers,3,Fall,0,53
Lodging managers,2,Poisoning,0,53
Lodging managers,3,Poisoning,0,53
Lodging managers,2,Struck by or against,0,53
Lodging managers,3,Struck by or against,0,53
Medical and health services managers,2,Total,4,406
Medical and health services managers,3,Total,4,406
Medical and health services managers,2,Cut/Pierce,0,406
Medical and health services managers,3,Cut/Pierce,0,406
Medical and health services managers,2,Motor Vehicle Traffic,0,406
Medical and health services managers,3,Motor Vehicle Traffic,0,406
Medical and health services managers,2,Fire/Flame,0,406
Medical and health services managers,3,Fire/Flame,0,406
Medical and health services managers,2,Fall,0,406
Medical and health services managers,3,Fall,0,406
Medical and health services managers,2,Poisoning,0,406
Medical and health services managers,3,Poisoning,0,406
Medical and health services managers,2,Struck by or against,0,406
Medical and health services managers,3,Struck by or against,0,406
Natural sciences managers,2,Total,1,64
Natural sciences managers,3,Total,1,64
Natural sciences managers,2,Cut/Pierce,0,64
Natural sciences managers,3,Cut/Pierce,0,64
Natural sciences managers,2,Motor Vehicle Traffic,0,64
Natural sciences managers,3,Motor Vehicle Traffic,0,64
Natural sciences managers,2,Fire/Flame,0,64
Natural sciences managers,3,Fire/Flame,0,64
Natural sciences managers,2,Fall,1,64
Natural sciences managers,3,Fall,1,64
Natural sciences managers,2,Poisoning,0,64
Natural sciences managers,3,Poisoning,0,64
Natural sciences managers,2,Struck by or against,0,64
Natural sciences managers,3,Struck by or against,0,64
"Property, real estate, and community association managers",2,Total,17,363
"Property, real estate, and community association managers",3,Total,17,363
"Property, real estate, and community association managers",2,Cut/Pierce,9,363
"Property, real estate, and community association managers",3,Cut/Pierce,9,363
"Property, real estate, and community association managers",2,Motor Vehicle Traffic,0,363
"Property, real estate, and community association managers",3,Motor Vehicle Traffic,0,363
"Property, real estate, and community association managers",2,Fire/Flame,0,363
"Property, real estate, and community association managers",3,Fire/Flame,0,363
"Property, real estate, and community association managers",2,Fall,5,363
"Property, real estate, and community association managers",3,Fall,5,363
"Property, real estate, and community association managers",2,Poisoning,0,363
"Property, real estate, and community association managers",3,Poisoning,0,363
"Property, real estate, and community association managers",2,Struck by or against,0,363
"Property, real estate, and community association managers",3,Struck by or against,0,363
Social and community service managers,2,Total,1,169
Social and community service managers,3,Total,1,169
Social and community service managers,2,Cut/Pierce,0,169
Social and community service managers,3,Cut/Pierce,0,169
Social and community service managers,2,Motor Vehicle Traffic,0,169
Social and community service managers,3,Motor Vehicle Traffic,0,169
Social and community service managers,2,Fire/Flame,0,169
Social and community service managers,3,Fire/Flame,0,169
Social and community service managers,2,Fall,0,169
Social and community service managers,3,Fall,0,169
Social and community service managers,2,Poisoning,0,169
Social and community service managers,3,Poisoning,0,169
Social and community service managers,2,Struck by or against,0,169
Social and community service managers,3,Struck by or against,0,169
Business and financial operations occupations,0,Total,38,"8,590"
Business and financial operations occupations,0,Cut/Pierce,10,"8,590"
Business and financial operations occupations,0,Motor Vehicle Traffic,18,"8,590"
Business and financial operations occupations,0,Fire/Flame,0,"8,590"
Business and financial operations occupations,0,Fall,5,"8,590"
Business and financial operations occupations,0,Poisoning,3,"8,590"
Business and financial operations occupations,0,Struck by or against,2,"8,590"
Business operations specialists,1,Total,24,"5,535"
Business operations specialists,1,Cut/Pierce,4,"5,535"
Business operations specialists,1,Motor Vehicle Traffic,13,"5,535"
Business operations specialists,1,Fire/Flame,0,"5,535"
Business operations specialists,1,Fall,3,"5,535"
Business operations specialists,1,Poisoning,0,"5,535"
Business operations specialists,1,Struck by or against,2,"5,535"
Buyers and purchasing agents,2,Total,3,432
Buyers and purchasing agents,2,Cut/Pierce,1,432
